id,carat,cut,color,clarity,depth,table,x,y,z,price
97,0.41,Ideal,H,VVS1,62.2,57.0,4.74,4.78,2.96,6.95
98,0.33,Very Good,F,VS2,61.2,58.0,4.45,4.5,2.74,6.501
99,1.2,Very Good,G,SI2,62.5,57.0,6.73,6.84,4.24,8.566
100,0.38,Ideal,E,VS1,61.6,56.0,4.67,4.65,2.87,6.974
101,0.31,Very Good,G,SI1,58.8,62.0,4.39,4.42,2.59,6.136
102,0.9,Good,E,SI1,60.4,58.0,6.12,6.24,3.73,8.33
103,0.39,Ideal,E,VVS2,62.1,54.6,4.67,4.7,2.91,7.003
104,0.44,Good,H,SI1,63.5,57.0,4.82,4.85,3.07,6.597
105,0.31,Ideal,D,VS2,62.7,55.0,4.31,4.34,2.71,6.599
106,0.32,Premium,E,SI2,61.7,60.0,4.41,4.38,2.71,6.356
107,0.4,Good,D,SI2,63.8,54.0,4.73,4.7,3.01,6.682
108,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,7.396
109,1.11,Premium,H,SI2,61.5,59.0,6.67,6.63,4.09,8.447
110,1.01,Very Good,D,SI1,61.8,58.0,6.33,6.38,3.93,8.668
111,0.53,Ideal,D,VS2,61.7,55.0,5.23,5.21,3.22,7.579
112,1.72,Very Good,E,SI1,62.2,58.0,7.63,7.7,4.77,9.677
113,0.81,Very Good,E,SI2,62.4,57.0,5.91,5.99,3.71,7.97
114,0.32,Premium,H,VS1,62.4,58.0,4.4,4.35,2.73,6.579
115,0.34,Ideal,G,VVS1,62.1,55.0,4.46,4.49,2.78,6.797
116,0.54,Ideal,F,VS2,61.4,57.0,5.2,5.25,3.21,7.416
117,0.55,Ideal,E,SI1,61.6,56.0,5.26,5.28,3.25,7.391
118,0.38,Premium,J,SI1,61.3,59.0,4.62,4.68,2.85,6.24
119,1.0,Good,G,SI2,63.4,60.0,6.22,6.34,3.98,8.21
120,0.35,Good,E,VS1,63.1,56.0,4.49,4.54,2.85,6.497
121,0.44,Good,F,SI1,63.8,54.0,4.85,4.8,3.08,6.877
122,1.13,Premium,G,VVS2,61.4,58.0,6.73,6.68,4.12,8.99
123,1.02,Ideal,H,VS2,62.0,55.0,6.47,6.44,4.0,8.645
124,1.0,Premium,F,VVS2,59.9,60.0,6.46,6.5,3.88,9.042
125,0.44,Very Good,H,VVS1,63.1,56.0,4.83,4.87,3.06,6.924
126,0.34,Very Good,I,VS2,62.1,57.0,4.44,4.48,2.77,6.168
127,0.41,Ideal,E,VS2,62.4,54.0,4.76,4.79,2.98,6.841
128,0.4,Premium,E,VS2,61.9,59.0,4.75,4.72,2.93,6.882
129,0.74,Very Good,H,VS1,61.9,59.1,5.74,5.77,3.56,7.904
130,0.33,Ideal,G,IF,62.7,56.0,4.39,4.44,2.77,6.758
131,0.32,Ideal,D,VS2,61.3,57.0,4.44,4.46,2.73,6.569
132,0.51,Ideal,D,VS2,61.9,57.0,5.11,5.13,3.17,7.488
133,1.23,Ideal,H,SI1,63.0,56.0,6.83,6.79,4.29,8.681
134,0.33,Very Good,G,SI1,61.1,59.0,4.42,4.45,2.71,6.198
135,0.38,Ideal,H,VVS1,61.1,56.0,4.68,4.71,2.87,6.855
136,1.74,Very Good,I,SI1,58.7,60.0,7.84,7.9,4.62,9.289
137,0.41,Ideal,H,VS2,61.7,56.0,4.77,4.79,2.95,7.059
138,0.32,Very Good,H,VVS1,62.3,56.0,4.35,4.37,2.72,6.51
139,0.71,Ideal,E,SI2,61.2,57.0,5.74,5.82,3.54,7.782
140,0.74,Ideal,F,SI2,61.6,55.0,5.81,5.87,3.6,7.787
141,0.7,Premium,D,VS1,60.4,58.0,5.78,5.71,3.47,7.992
142,1.73,Premium,J,SI1,61.0,59.0,7.75,7.68,4.71,9.123
143,0.5,Ideal,H,VVS2,60.4,55.0,5.16,5.2,3.13,7.383
144,3.01,Ideal,J,I1,65.4,60.0,8.99,8.93,5.86,9.713
145,0.35,Premium,G,VVS1,59.3,61.0,4.62,4.58,2.73,6.892
146,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,7.008
147,0.92,Premium,F,SI1,62.6,59.0,6.23,6.19,3.89,8.212
148,1.35,Very Good,H,VS2,62.3,57.0,7.06,7.12,4.42,8.929
149,0.65,Very Good,F,SI1,60.0,63.0,5.62,5.54,3.35,7.503
150,1.05,Premium,F,SI1,61.6,57.0,6.56,6.53,4.03,8.623
151,2.27,Premium,J,VS1,62.4,58.0,8.41,8.36,5.23,9.75
152,0.3,Very Good,I,VS2,62.7,56.0,4.27,4.28,2.68,6.009
153,0.61,Ideal,I,VS2,62.0,57.0,5.43,5.46,3.37,7.394
154,1.0,Very Good,H,VVS1,62.3,60.0,6.28,6.36,3.94,8.703
155,0.32,Very Good,H,VS1,61.7,58.0,4.37,4.41,2.71,6.33
156,1.6,Ideal,H,SI2,62.1,56.0,7.51,7.43,4.64,9.153
157,1.0,Premium,D,SI2,59.9,59.0,6.48,6.44,3.87,8.503
158,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,6.654
159,0.72,Very Good,G,VS2,63.3,57.0,5.71,5.67,3.6,7.815
160,1.0,Premium,H,SI2,61.3,58.0,6.45,6.41,3.94,8.274
161,1.04,Very Good,E,SI1,60.8,60.0,6.49,6.56,3.97,8.562
162,0.51,Premium,G,VVS1,60.1,56.0,5.35,5.16,3.16,7.655
163,1.02,Premium,E,VS2,58.4,57.0,6.64,6.59,3.86,8.833
164,0.54,Very Good,F,VS1,61.0,58.0,5.24,5.25,3.2,7.503
165,0.53,Ideal,G,VVS2,62.2,54.0,5.22,5.17,3.23,7.626
166,0.81,Ideal,J,SI1,62.0,56.0,6.0,6.03,3.73,7.744
167,1.16,Good,H,SI1,64.2,58.6,6.61,6.66,4.26,8.578
168,0.83,Ideal,H,SI2,60.7,57.0,6.08,6.05,3.68,7.697
169,0.65,Fair,F,VS2,58.3,64.0,5.7,5.62,3.3,7.54
170,1.0,Premium,I,SI1,60.5,59.0,6.54,6.49,3.94,8.343
171,1.01,Very Good,F,VS1,59.9,59.0,6.52,6.57,3.92,8.828
172,1.09,Premium,H,VS2,61.4,58.0,6.64,6.58,4.06,8.644
173,0.7,Ideal,H,SI1,61.4,57.0,5.64,5.76,3.5,7.714
174,0.33,Ideal,G,VS2,62.5,57.0,4.39,4.41,2.75,6.361
175,1.24,Ideal,H,SI1,61.6,57.0,6.92,6.84,4.24,8.848
176,0.62,Premium,H,VVS1,61.9,58.0,5.49,5.46,3.39,7.711
177,0.59,Ideal,G,SI1,62.3,55.0,5.37,5.39,3.35,7.266
178,1.5,Premium,I,VS2,62.5,59.0,7.3,7.26,4.55,9.111
179,0.41,Ideal,G,IF,62.1,57.0,4.76,4.77,2.96,7.151
180,0.3,Ideal,G,IF,62.1,55.0,4.32,4.34,2.69,6.76
181,1.21,Ideal,I,VS1,61.5,56.0,6.83,6.87,4.22,8.809
182,1.43,Ideal,H,VVS2,61.6,54.0,7.25,7.29,4.48,9.223
183,1.0,Premium,D,SI2,62.4,58.0,6.36,6.33,3.96,8.48
184,3.01,Premium,J,SI2,60.7,59.0,9.35,9.22,5.64,9.837
185,1.07,Premium,E,SI2,60.5,59.0,6.67,6.59,4.01,8.381
186,0.32,Ideal,G,IF,62.3,53.0,4.41,4.45,2.76,6.822
187,0.44,Ideal,E,VS2,61.9,55.0,4.89,4.86,3.02,6.978
188,1.28,Ideal,H,VVS1,61.3,55.0,7.01,7.06,4.31,9.097
189,0.58,Good,G,SI1,63.8,56.0,5.3,5.33,3.39,7.236
190,0.31,Ideal,D,VS2,61.2,55.0,4.37,4.39,2.68,6.599
191,1.23,Premium,F,VS2,60.8,59.0,6.9,6.94,4.21,9.1
192,0.72,Ideal,H,VS1,60.7,55.0,5.83,5.85,3.54,8.094
193,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,5.866
194,0.61,Good,I,VS2,63.7,60.0,5.34,5.28,3.38,7.122
195,1.14,Premium,F,SI2,60.8,58.0,6.79,6.74,4.11,8.519
196,0.31,Ideal,G,IF,61.3,54.0,4.38,4.4,2.69,6.792
197,0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,6.849
198,0.39,Premium,F,VVS1,59.7,58.0,4.75,4.73,2.83,7.162
199,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,5.999
200,2.22,Premium,I,SI1,62.7,58.0,8.33,8.28,5.21,9.554
201,0.39,Ideal,E,VVS1,60.8,58.0,4.72,4.76,2.88,7.076
202,1.06,Ideal,D,SI1,62.7,54.0,6.52,6.55,4.1,8.69
203,1.02,Ideal,E,VS2,62.7,56.0,6.44,6.38,4.02,8.833
204,0.3,Ideal,E,VS2,61.8,56.0,4.32,4.29,2.66,6.738
205,0.43,Premium,F,VS1,59.9,58.0,4.93,4.89,2.94,7.029
206,0.41,Ideal,D,VVS1,60.6,57.0,4.82,4.79,2.91,7.366
207,0.33,Ideal,F,VS2,61.6,55.0,4.45,4.48,2.75,6.501
208,0.92,Good,E,SI1,63.3,57.0,6.17,6.22,3.92,8.202
209,1.01,Good,D,SI2,63.9,57.0,6.36,6.29,4.04,8.449
210,0.31,Ideal,G,SI1,61.7,54.0,4.38,4.4,2.71,6.1
211,0.54,Very Good,G,VS1,61.6,56.0,5.23,5.26,3.23,7.47
212,1.05,Premium,H,SI1,61.9,58.0,6.45,6.5,4.01,8.436
213,0.33,Ideal,H,SI1,60.9,56.0,4.5,4.53,2.75,6.236
214,0.6,Ideal,D,SI2,61.3,59.0,5.42,5.48,3.34,7.199
215,0.3,Ideal,H,VVS2,61.6,55.0,4.3,4.34,2.66,6.405
216,0.51,Good,F,VS2,63.1,59.0,5.04,5.1,3.2,7.275
217,0.35,Ideal,F,VS1,62.4,57.0,4.52,4.49,2.81,6.919
218,1.2,Ideal,G,SI1,61.2,56.0,6.92,6.84,4.21,8.78
219,0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75,5.999
220,0.91,Very Good,F,VS1,63.1,59.0,6.19,6.14,3.89,8.395
221,0.74,Ideal,D,VVS2,61.4,56.0,5.82,5.87,3.58,8.673
222,1.1,Very Good,I,VS1,60.8,58.3,6.63,6.68,4.04,8.556
223,0.3,Ideal,G,VS2,61.8,54.0,4.34,4.37,2.69,6.301
224,0.71,Good,I,VVS1,63.4,57.0,5.67,5.71,3.61,7.843
225,0.92,Premium,F,SI1,58.5,57.0,6.39,6.37,3.73,8.132
226,0.9,Good,G,VS1,64.5,57.0,6.01,6.08,3.9,8.288
227,0.7,Good,F,VS2,59.1,61.0,5.76,5.84,3.43,7.954
228,0.3,Ideal,J,VS1,62.0,57.0,4.28,4.3,2.66,6.019
229,0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,6.967
230,0.5,Good,G,VS1,57.5,56.0,5.3,5.24,3.03,7.265
231,1.21,Premium,I,VS1,61.2,59.0,6.86,6.84,4.19,8.62
232,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,6.558
233,0.32,Good,E,VS2,58.8,63.0,4.48,4.54,2.65,6.686
234,1.02,Very Good,G,SI1,63.2,59.0,6.41,6.37,4.04,8.459
235,1.03,Ideal,D,SI2,61.8,54.0,6.52,6.46,4.01,8.538
236,0.87,Very Good,H,SI2,61.0,56.0,6.15,6.19,3.77,8.004
237,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,7.923
238,0.54,Ideal,F,VS1,61.5,55.0,5.26,5.27,3.24,7.697
239,1.04,Premium,E,VVS1,60.9,58.0,6.61,6.53,4.0,9.34
240,2.31,Premium,I,SI2,58.8,58.0,8.7,8.64,5.1,9.741
241,1.51,Premium,G,VS1,62.6,60.0,7.19,7.28,4.53,9.573
242,0.38,Premium,I,VS2,62.5,58.0,4.61,4.58,2.87,6.7
243,0.33,Ideal,G,IF,61.6,55.0,4.51,4.48,2.77,6.958
244,1.01,Premium,H,SI1,62.2,54.0,6.48,6.41,4.01,8.457
245,0.34,Premium,I,VVS1,62.4,59.0,4.4,4.44,2.76,6.439
246,0.71,Premium,D,VS2,62.7,58.0,5.53,5.67,3.54,7.886
247,0.55,Ideal,F,VVS2,61.1,57.0,5.28,5.31,3.24,7.874
248,1.0,Premium,D,SI1,61.5,60.0,6.38,6.34,3.91,8.61
249,1.85,Ideal,I,VVS2,62.4,57.0,7.91,7.86,4.92,9.564
250,0.79,Ideal,D,SI1,61.3,54.0,6.01,5.96,3.67,8.093
251,0.38,Ideal,E,SI1,62.1,55.0,4.64,4.67,2.89,6.529
252,0.51,Ideal,E,VS2,61.8,56.0,5.14,5.12,3.17,7.485
253,1.52,Ideal,J,SI2,62.7,56.0,7.28,7.2,4.54,8.714
254,0.4,Ideal,E,SI1,62.0,57.0,4.78,4.74,2.95,6.851
255,0.25,Very Good,D,VVS2,62.8,56.0,4.0,4.03,2.52,6.306
256,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,6.628
257,0.35,Very Good,I,VS1,60.7,62.0,4.53,4.59,2.77,6.314
258,0.52,Ideal,F,SI2,61.3,55.0,5.18,5.2,3.18,7.022
259,0.31,Good,E,SI1,63.5,55.0,4.31,4.35,2.75,6.299
260,0.76,Ideal,J,VS1,61.9,54.0,5.88,5.84,3.63,7.744
261,0.74,Premium,E,VS2,62.7,58.0,5.77,5.72,3.6,8.08
262,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,8.27
263,0.97,Premium,F,SI1,59.9,59.0,6.39,6.36,3.82,8.461
264,1.01,Ideal,G,VS2,62.4,56.0,6.41,6.37,3.99,8.717
265,0.31,Premium,G,VVS1,61.4,58.0,4.35,4.32,2.66,6.953
266,0.9,Good,F,SI2,64.2,62.0,6.08,6.0,3.88,7.994
267,0.32,Very Good,I,VVS2,63.0,57.0,4.33,4.37,2.74,6.33
268,1.53,Very Good,F,VS1,63.2,58.0,7.33,7.3,4.62,9.34
269,1.33,Premium,H,VS2,59.9,60.0,7.13,7.09,4.26,8.797
270,1.03,Ideal,D,SI1,62.4,57.0,6.44,6.47,4.03,8.622
271,0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,6.802
272,1.51,Premium,G,SI1,61.6,59.0,7.32,7.3,4.5,9.282
273,0.41,Premium,G,VS2,60.7,59.0,4.8,4.85,2.93,6.649
274,1.26,Very Good,E,VS2,59.5,57.0,7.03,7.15,4.22,9.19
275,0.72,Ideal,F,VS2,62.1,54.0,5.76,5.8,3.59,8.003
276,0.3,Good,H,VVS2,63.1,60.0,4.24,4.28,2.69,6.405
277,0.58,Ideal,E,VS2,61.7,57.0,5.42,5.35,3.32,7.501
278,0.5,Premium,F,I1,61.9,58.0,5.15,5.05,3.15,6.746
279,0.43,Ideal,H,VS2,62.3,54.0,4.85,4.88,3.03,6.657
280,1.75,Ideal,H,I1,61.5,54.9,7.75,7.78,4.78,8.892
281,1.14,Ideal,H,VS2,62.6,56.0,6.68,6.65,4.17,8.715
282,0.92,Very Good,F,SI2,62.8,56.0,6.19,6.23,3.9,8.262
283,1.01,Very Good,G,VVS1,61.8,59.0,6.47,6.41,3.98,9.033
284,0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,7.143
285,0.43,Good,I,VS2,58.0,57.0,4.96,5.01,2.89,6.545
286,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,7.923
287,0.39,Very Good,G,VS1,62.7,58.0,4.63,4.69,2.92,6.682
288,0.3,Good,G,VS1,63.6,55.0,4.26,4.29,2.72,6.405
289,0.42,Very Good,D,SI2,58.6,58.0,4.91,4.98,2.9,6.438
290,1.04,Ideal,H,SI2,62.1,56.0,6.48,6.5,4.03,8.39
291,0.51,Ideal,F,VS2,62.9,55.0,5.12,5.08,3.21,7.431
292,0.31,Ideal,H,SI1,61.2,58.0,4.37,4.39,2.68,6.033
293,1.19,Good,D,VS1,63.8,55.0,6.68,6.64,4.25,8.914
294,0.32,Ideal,D,VVS2,61.2,56.0,4.39,4.43,2.7,6.688
295,0.52,Very Good,F,VS2,61.9,59.0,5.11,5.14,3.17,7.346
296,0.57,Ideal,F,SI2,61.0,56.0,5.37,5.32,3.26,7.242
297,1.01,Very Good,I,I1,63.1,57.0,6.39,6.35,4.02,7.971
298,1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,8.981
299,0.31,Ideal,H,VS2,63.0,57.0,4.34,4.32,2.73,6.443
300,0.31,Premium,G,SI1,61.8,60.0,4.32,4.35,2.68,6.136
301,0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,6.642
302,0.52,Very Good,F,VS1,61.7,56.0,5.14,5.17,3.18,7.483
303,0.4,Fair,G,SI1,64.7,55.0,4.68,4.65,3.02,6.733
304,0.4,Ideal,I,SI1,61.6,56.0,4.74,4.68,2.9,6.64
305,1.11,Good,D,VS2,63.2,57.0,6.61,6.64,4.18,8.97
306,0.32,Ideal,E,IF,62.3,53.0,4.39,4.41,2.74,6.926
307,1.21,Premium,F,VS2,61.5,57.0,6.81,6.74,4.17,9.091
308,1.04,Good,F,SI2,58.5,61.0,6.63,6.68,3.89,8.356
309,0.3,Premium,E,VS2,62.6,58.0,4.3,4.26,2.68,6.738
310,0.7,Very Good,E,VS2,60.2,62.0,5.71,5.75,3.45,7.953
311,0.96,Good,D,SI2,64.0,62.0,6.16,6.13,3.93,8.137
312,0.9,Ideal,H,VS2,59.9,57.0,6.27,6.31,3.77,8.43
313,1.51,Very Good,I,VS2,62.3,60.0,7.29,7.35,4.56,9.087
314,0.71,Ideal,E,VVS2,62.0,57.0,5.7,5.72,3.54,8.325
315,1.59,Ideal,J,SI1,61.3,57.0,7.43,7.52,4.58,8.98
316,0.41,Premium,G,VS1,61.9,60.0,4.7,4.76,2.93,6.801
317,0.31,Very Good,G,IF,60.8,56.0,4.41,4.44,2.69,6.778
318,1.01,Very Good,H,SI1,63.1,59.0,6.36,6.32,4.0,8.484
319,0.36,Ideal,H,VVS1,62.3,56.0,4.54,4.57,2.84,6.711
320,0.71,Fair,G,VS1,65.5,55.0,5.62,5.53,3.65,7.896
321,0.9,Very Good,I,VS1,62.6,58.0,6.14,6.17,3.85,8.145
322,1.01,Very Good,F,VS1,62.8,58.0,6.32,6.39,3.99,8.854
323,0.44,Premium,G,VS1,62.3,59.0,4.87,4.82,3.02,6.938
324,0.41,Premium,F,VS2,61.1,56.0,4.84,4.79,2.94,7.009
325,0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,7.886
326,0.5,Premium,D,SI1,62.4,60.0,5.07,5.09,3.17,7.27
327,1.59,Premium,F,VS2,60.2,60.0,7.59,7.62,4.58,9.646
328,0.9,Very Good,D,SI1,60.1,58.0,6.27,6.3,3.78,8.326
329,0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,6.808
330,0.7,Very Good,F,VS1,62.0,57.0,5.64,5.71,3.52,7.94
331,0.73,Premium,F,SI1,61.9,60.0,5.78,5.81,3.59,7.826
332,1.25,Good,H,SI1,63.7,58.0,6.81,6.79,4.33,8.822
333,0.32,Good,D,SI1,63.5,55.0,4.31,4.35,2.75,6.378
334,1.02,Ideal,H,SI1,60.8,58.0,6.47,6.49,3.94,8.566
335,0.42,Very Good,E,VS2,62.8,59.0,4.76,4.8,3.0,6.865
336,0.38,Ideal,I,VVS2,62.6,54.0,4.65,4.62,2.9,6.891
337,0.8,Premium,E,VVS2,62.9,59.0,5.95,5.88,3.72,8.35
338,1.77,Premium,G,SI2,62.7,59.0,7.67,7.66,4.8,9.176
339,0.93,Very Good,F,I1,61.3,59.0,6.22,6.27,3.83,7.772
340,0.53,Premium,F,I1,61.3,58.0,5.22,5.18,3.19,6.787
341,0.37,Premium,G,VS2,60.1,59.0,4.64,4.68,2.8,6.475
342,0.51,Premium,H,VS2,58.5,61.0,5.26,5.23,3.07,7.215
